Date,Statement
    
       To support a stronger economic recovery and to help ensure that inflation over time is at levels consistent with the dual mandate the Committee decided today to continue its program to extend the average maturity of its holdings of securities as announced in September.  The Committee is maintaining its existing policies of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  The Committee will regularly review the size and composition of its securities holdings and is prepared to adjust those holdings as appropriate. 
    
       The Committee also decided to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through mid-2013. 
    
       The Committee will continue to assess the economic outlook in light of incoming information and is prepared to employ its tools to promote a stronger economic recovery in a context of price stability. 
    
         Voting against the action was Charles L.  Evans who supported additional policy accommodation at this time. 
    "

13/12/2011,"
       Information received since the Federal Open Market Committee met in November suggests that the economy has been expanding moderately notwithstanding some apparent slowing in global growth.  While indicators point to some improvement in overall labor market conditions the unemployment rate remains elevated.  Household spending has continued to advance but business fixed investment appears to be increasing less rapidly and the housing sector remains depressed.  Inflation has moderated since earlier in the year and longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee continues to expect a moderate pace of economic growth over coming quarters and consequently anticipates that the unemployment rate will decline only gradually toward levels that the Committee judges to be consistent with its dual mandate.  Strains in global financial markets continue to pose significant downside risks to the economic outlook.  The Committee also anticipates that inflation will settle over coming quarters at levels at or below those consistent with the Committee dual mandate.  However the Committee will continue to pay close attention to the evolution of inflation and inflation expectations. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at levels consistent with the dual mandate the Committee decided today to continue its program to extend the average maturity of its holdings of securities as announced in September.  The Committee is maintaining its existing policies of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  The Committee will regularly review the size and composition of its securities holdings and is prepared to adjust those holdings as appropriate. 
    
       The Committee also decided to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through mid-2013. 
    
       The Committee will continue to assess the economic outlook in light of incoming information and is prepared to employ its tools to promote a stronger economic recovery in a context of price stability. 
    
        Voting against the action was Charles L.  Evans who supported additional policy accommodation at this time. 
    "

25/01/2012,"
       Following careful deliberations at its recent meetings the Federal Open Market Committee (FOMC) has reached broad agreement on the following principles regarding its longer-run goals and monetary policy strategy. The Committee intends to reaffirm these principles and to make adjustments as appropriate at its annual organizational meeting each January. 
    
       The FOMC is firmly committed to fulfilling its statutory mandate from the Congress of promoting maximum employment stable prices and moderate long-term interest rates. The Committee seeks to explain its monetary policy decisions to the public as clearly as possible. Such clarity facilitates well-informed decisionmaking by households and businesses reduces economic and financial uncertainty increases the effectiveness of monetary policy and enhances transparency and accountability which are essential in a democratic society. 
    
       Inflation employment and long-term interest rates fluctuate over time in response to economic and financial disturbances. Moreover monetary policy actions tend to influence economic activity and prices with a lag. Therefore the Committee's policy decisions reflect its longer-run goals its medium-term outlook and its assessments of the balance of risks including risks to the financial system that could impede the attainment of the Committee's goals. 
    
       The inflation rate over the longer run is primarily determined by monetary policy and hence the Committee has the ability to specify a longer-run goal for inflation. The Committee judges that inflation at the rate of 2 percent as measured by the annual change in the price index for personal consumption expenditures is most consistent over the longer run with the Federal Reserve's statutory mandate.  Communicating this inflation goal clearly to the public helps keep longer-term inflation expectations firmly anchored thereby fostering price stability and moderate long-term interest rates and enhancing the Committee's ability to promote maximum employment in the face of significant economic disturbances. 
    
       The maximum level of employment is largely determined by nonmonetary factors that affect the structure and dynamics of the labor market. These factors may change over time and may not be directly measurable. Consequently it would not be appropriate to specify a fixed goal for employment; rather the Committee's policy decisions must be informed by assessments of the maximum level of employment recognizing that such assessments are necessarily uncertain and subject to revision. The Committee considers a wide range of indicators in making these assessments. Information about Committee participants' estimates of the longer-run normal rates of output growth and unemployment is published four times per year in the FOMC's Summary of Economic Projections. For example in the most recent projections FOMC participants' estimates of the longer-run normal rate of unemployment had a central tendency of 5. 2 percent to 6. 0 percent roughly unchanged from last January but substantially higher than the corresponding interval several years earlier. 
    
       In setting monetary policy the Committee seeks to mitigate deviations of inflation from its longer-run goal and deviations of employment from the Committee's assessments of its maximum level.  These objectives are generally complementary. However under circumstances in which the Committee judges that the objectives are not complementary it follows a balanced approach in promoting them taking into account the magnitude of the deviations and the potentially different time horizons over which employment and inflation are projected to return to levels judged consistent with its mandate. 
    
       
    
       
    
       
    "

25/01/2012,"
       Information received since the Federal Open Market Committee met in December suggests that the economy has been expanding moderately notwithstanding some slowing in global growth.  While indicators point to some further improvement in overall labor market conditions the unemployment rate remains elevated.  Household spending has continued to advance but growth in business fixed investment has slowed and the housing sector remains depressed.  Inflation has been subdued in recent months and longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee expects economic growth over coming quarters to be modest and consequently anticipates that the unemployment rate will decline only gradually toward levels that the Committee judges to be consistent with its dual mandate.  Strains in global financial markets continue to pose significant downside risks to the economic outlook.  The Committee also anticipates that over coming quarters inflation will run at levels at or below those consistent with the Committee's dual mandate. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at levels consistent with the dual mandate the Committee expects to maintain a highly accommodative stance for monetary policy. In particular the Committee decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through late 2014. 
    
       The Committee also decided to continue its program to extend the average maturity of its holdings of securities as announced in September.  The Committee is maintaining its existing policies of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  The Committee will regularly review the size and composition of its securities holdings and is prepared to adjust those holdings as appropriate to promote a stronger economic recovery in a context of price stability. 
    
        Voting against the action was Jeffrey M.  Lacker who preferred to omit the description of the time period over which economic conditions are likely to warrant exceptionally low levels of the federal funds rate. 
    "

13/03/2012,"
       Information received since the Federal Open Market Committee met in January suggests that the economy has been expanding moderately.  Labor market conditions have improved further; the unemployment rate has declined notably in recent months but remains elevated.  Household spending and business fixed investment have continued to advance.  The housing sector remains depressed.  Inflation has been subdued in recent months although prices of crude oil and gasoline have increased lately.  Longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee expects moderate economic growth over coming quarters and consequently anticipates that the unemployment rate will decline gradually toward levels that the Committee judges to be consistent with its dual mandate.  Strains in global financial markets have eased though they continue to pose significant downside risks to the economic outlook.  The recent increase in oil and gasoline prices will push up inflation temporarily but the Committee anticipates that subsequently inflation will run at or below the rate that it judges most consistent with its dual mandate. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee expects to maintain a highly accommodative stance for monetary policy.  In particular the Committee decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through late 2014. 
    
       The Committee also decided to continue its program to extend the average maturity of its holdings of securities as announced in September.  The Committee is maintaining its existing policies of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  The Committee will regularly review the size and composition of its securities holdings and is prepared to adjust those holdings as appropriate to promote a stronger economic recovery in a context of price stability. 
    
        Voting against the action was Jeffrey M.  Lacker who does not anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate through late 2014. 
    "

25/04/2012,"
       Information received since the Federal Open Market Committee met in March suggests that the economy has been expanding moderately.  Labor market conditions have improved in recent months; the unemployment rate has declined but remains elevated.  Household spending and business fixed investment have continued to advance.  Despite some signs of improvement the housing sector remains depressed.  Inflation has picked up somewhat mainly reflecting higher prices of crude oil and gasoline.  However longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee expects economic growth to remain moderate over coming quarters and then to pick up gradually.  Consequently the Committee anticipates that the unemployment rate will decline gradually toward levels that it judges to be consistent with its dual mandate.  Strains in global financial markets continue to pose significant downside risks to the economic outlook.  The increase in oil and gasoline prices earlier this year is expected to affect inflation only temporarily and the Committee anticipates that subsequently inflation will run at or below the rate that it judges most consistent with its dual mandate. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee expects to maintain a highly accommodative stance for monetary policy.  In particular the Committee decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through late 2014. 
    
       The Committee also decided to continue its program to extend the average maturity of its holdings of securities as announced in September.  The Committee is maintaining its existing policies of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  The Committee will regularly review the size and composition of its securities holdings and is prepared to adjust those holdings as appropriate to promote a stronger economic recovery in a context of price stability. 
    
        Voting against the action was Jeffrey M.  Lacker who does not anticipate that economic conditions are likely to warrant exceptionally low levels of the federal funds rate through late 2014. 
    "

20/06/2012,"Information received since the Federal Open Market Committee met in April suggests that the economy has been expanding moderately this year.  However growth in employment has slowed in recent months and the unemployment rate remains elevated.  Business fixed investment has continued to advance.  Household spending appears to be rising at a somewhat slower pace than earlier in the year.  Despite some signs of improvement the housing sector remains depressed.  Inflation has declined mainly reflecting lower prices of crude oil and gasoline and longer-term inflation expectations have remained stable. Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee expects economic growth to remain moderate over coming quarters and then to pick up very gradually.  Consequently the Committee anticipates that the unemployment rate will decline only slowly toward levels that it judges to be consistent with its dual mandate.  Furthermore strains in global financial markets continue to pose significant downside risks to the economic outlook.  The Committee anticipates that inflation over the medium term will run at or below the rate that it judges most consistent with its dual mandate. To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee expects to maintain a highly accommodative stance for monetary policy.  In particular the Committee decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through late 2014. The Committee also decided to continue through the end of the year its program to extend the average maturity of its holdings of securities.  Specifically the Committee intends to purchase Treasury securities with remaining maturities of 6 years to 30 years at the current pace and to sell or redeem an equal amount of Treasury securities with remaining maturities of approximately 3 years or less.  This continuation of the maturity extension program should put downward pressure on longer-term interest rates and help to make broader financial conditions more accommodative.  The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities.  The Committee is prepared to take further action as appropriate to promote a stronger economic recovery and sustained improvement in labor market conditions in a context of price stability. Voting against the action was Jeffrey M.  Lacker who opposed continuation of the maturity extension program. 

"

01/08/2012,"
       Information received since the Federal Open Market Committee met in June suggests that economic activity decelerated somewhat over the first half of this year.  Growth in employment has been slow in recent months and the unemployment rate remains elevated.  Business fixed investment has continued to advance.  Household spending has been rising at a somewhat slower pace than earlier in the year.  Despite some further signs of improvement the housing sector remains depressed.  Inflation has declined since earlier this year mainly reflecting lower prices of crude oil and gasoline and longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee expects economic growth to remain moderate over coming quarters and then to pick up very gradually.  Consequently the Committee anticipates that the unemployment rate will decline only slowly toward levels that it judges to be consistent with its dual mandate.  Furthermore strains in global financial markets continue to pose significant downside risks to the economic outlook.  The Committee anticipates that inflation over the medium term will run at or below the rate that it judges most consistent with its dual mandate. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee expects to maintain a highly accommodative stance for monetary policy.  In particular the Committee decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through late 2014. 
    
       The Committee also decided to continue through the end of the year its program to extend the average maturity of its holdings of securities as announced in June and it is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities.  The Committee will closely monitor incoming information on economic and financial developments and will provide additional accommodation as needed to promote a stronger economic recovery and sustained improvement in labor market conditions in a context of price stability. 
    
       Voting against the action was Jeffrey M.  Lacker who preferred to omit the description of the time period over which economic conditions are likely to warrant an exceptionally low level of the federal funds rate. 
    "

13/09/2012,Information received since the Federal Open Market Committee met in August suggests that economic activity has continued to expand at a moderate pace in recent months.  Growth in employment has been slow and the unemployment rate remains elevated.  Household spending has continued to advance but growth in business fixed investment appears to have slowed.  The housing sector has shown some further signs of improvement albeit from a depressed level.  Inflation has been subdued although the prices of some key commodities have increased recently.  Longer-term inflation expectations have remained stable. Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee is concerned that without further policy accommodation economic growth might not be strong enough to generate sustained improvement in labor market conditions.  Furthermore strains in global financial markets continue to pose significant downside risks to the economic outlook.  The Committee also anticipates that inflation over the medium term likely would run at or below its 2 percent objective. To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee agreed today to increase policy accommodation by purchasing additional agency mortgage-backed securities at a pace of $40 billion per month.  The Committee also will continue through the end of the year its program to extend the average maturity of its holdings of securities as announced in June and it is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities.  These actions which together will increase the Committee holdings of longer-term securities by about $85 billion each month through the end of the year should put downward pressure on longer-term interest rates support mortgage markets and help to make broader financial conditions more accommodative. The Committee will closely monitor incoming information on economic and financial developments in coming months.  If the outlook for the labor market does not improve substantially the Committee will continue its purchases of agency mortgage-backed securities undertake additional asset purchases and employ its other policy tools as appropriate until such improvement is achieved in a context of price stability.  In determining the size pace and composition of its asset purchases the Committee will as always take appropriate account of the likely efficacy and costs of such purchases. To support continued progress toward maximum employment and price stability the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the economic recovery strengthens.  In particular the Committee also decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that exceptionally low levels for the federal funds rate are likely to be warranted at least through mid-2015.   Voting against the action was Jeffrey M.  Lacker who opposed additional asset purchases and preferred to omit the description of the time period over which exceptionally low levels for the federal funds rate are likely to be warranted. 

24/10/2012,"
       Information received since the Federal Open Market Committee met in September suggests that economic activity has continued to expand at a moderate pace in recent months. Growth in employment has been slow and the unemployment rate remains elevated. Household spending has advanced a bit more quickly but growth in business fixed investment has slowed. The housing sector has shown some further signs of improvement albeit from a depressed level. Inflation recently picked up somewhat reflecting higher energy prices. Longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability. The Committee remains concerned that without sufficient policy accommodation economic growth might not be strong enough to generate sustained improvement in labor market conditions. Furthermore strains in global financial markets continue to pose significant downside risks to the economic outlook. The Committee also anticipates that inflation over the medium term likely would run at or below its 2 percent objective. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee will continue purchasing additional agency mortgage-backed securities at a pace of $40 billion per month. The Committee also will continue through the end of the year its program to extend the average maturity of its holdings of Treasury securities and it is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities. These actions which together will increase the Committee holdings of longer-term securities by about $85 billion each month through the end of the year should put downward pressure on longer-term interest rates support mortgage markets and help to make broader financial conditions more accommodative. 
    
       The Committee will closely monitor incoming information on economic and financial developments in coming months. If the outlook for the labor market does not improve substantially the Committee will continue its purchases of agency mortgage-backed securities undertake additional asset purchases and employ its other policy tools as appropriate until such improvement is achieved in a context of price stability. In determining the size pace and composition of its asset purchases the Committee will as always take appropriate account of the likely efficacy and costs of such purchases. 
    
       To support continued progress toward maximum employment and price stability the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the economic recovery strengthens. In particular the Committee also decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that exceptionally low levels for the federal funds rate are likely to be warranted at least through mid-2015. 
    
       Voting against the action was Jeffrey M.  Lacker who opposed additional asset purchases and disagreed with the description of the time period over which a highly accommodative stance of monetary policy will remain appropriate and exceptionally low levels for the federal funds rate are likely to be warranted. 
    "

12/12/2012,"
       Information received since the Federal Open Market Committee met in October suggests that economic activity and employment have continued to expand at a moderate pace in recent months apart from weather-related disruptions.  Although the unemployment rate has declined somewhat since the summer it remains elevated.  Household spending has continued to advance and the housing sector has shown further signs of improvement but growth in business fixed investment has slowed.  Inflation has been running somewhat below the Committee longer-run objective apart from temporary variations that largely reflect fluctuations in energy prices.  Longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee remains concerned that without sufficient policy accommodation economic growth might not be strong enough to generate sustained improvement in labor market conditions.  Furthermore strains in global financial markets continue to pose significant downside risks to the economic outlook.  The Committee also anticipates that inflation over the medium term likely will run at or below its 2 percent objective. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee will continue purchasing additional agency mortgage-backed securities at a pace of $40 billion per month.  The Committee also will purchase longer-term Treasury securities after its program to extend the average maturity of its holdings of Treasury securities is completed at the end of the year initially at a pace of $45 billion per month.  The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and in January will resume rolling over maturing Treasury securities at auction.  Taken together these actions should maintain downward pressure on longer-term interest rates support mortgage markets and help to make broader financial conditions more accommodative. 
    
       The Committee will closely monitor incoming information on economic and financial developments in coming months.  If the outlook for the labor market does not improve substantially the Committee will continue its purchases of Treasury and agency mortgage-backed securities and employ its other policy tools as appropriate until such improvement is achieved in a context of price stability.  In determining the size pace and composition of its asset purchases the Committee will as always take appropriate account of the likely efficacy and costs of such purchases. 
    
       To support continued progress toward maximum employment and price stability the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.  In particular the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that this exceptionally low range for the federal funds rate will be appropriate at least as long as the unemployment rate remains above 6-1/2 percent inflation between one and two years ahead is projected to be no more than a half percentage point above the Committee 2 percent longer-run goal and longer-term inflation expectations continue to be well anchored.  The Committee views these thresholds as consistent with its earlier date-based guidance.  In determining how long to maintain a highly accommodative stance of monetary policy the Committee will also consider other information including additional measures of labor market conditions indicators of inflation pressures and inflation expectations and readings on financial developments.  When the Committee decides to begin to remove policy accommodation it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. 
    
        Voting against the action was Jeffrey M.  Lacker who opposed the asset purchase program and the characterization of the conditions under which an exceptionally low range for the federal funds rate will be appropriate. 
    
        
    "

30/01/2013,"
       Information received since the Federal Open Market Committee met in December suggests that growth in economic activity paused in recent months in large part because of weather-related disruptions and other transitory factors.  Employment has continued to expand at a moderate pace but the unemployment rate remains elevated.  Household spending and business fixed investment advanced and the housing sector has shown further improvement.  Inflation has been running somewhat below the Committee longer-run objective apart from temporary variations that largely reflect fluctuations in energy prices.  Longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee expects that with appropriate policy accommodation economic growth will proceed at a moderate pace and the unemployment rate will gradually decline toward levels the Committee judges consistent with its dual mandate. Although strains in global financial markets have eased somewhat the Committee continues to see downside risks to the economic outlook.  The Committee also anticipates that inflation over the medium term likely will run at or below its 2 percent objective. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee will continue purchasing additional agency mortgage-backed securities at a pace of $40 billion per month and longer-term Treasury securities at a pace of $45 billion per month.  The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  Taken together these actions should maintain downward pressure on longer-term interest rates support mortgage markets and help to make broader financial conditions more accommodative. 
    
       The Committee will closely monitor incoming information on economic and financial developments in coming months.  If the outlook for the labor market does not improve substantially the Committee will continue its purchases of Treasury and agency mortgage-backed securities and employ its other policy tools as appropriate until such improvement is achieved in a context of price stability.  In determining the size pace and composition of its asset purchases the Committee will as always take appropriate account of the likely efficacy and costs of such purchases. 
    
       To support continued progress toward maximum employment and price stability the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.  In particular the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that this exceptionally low range for the federal funds rate will be appropriate at least as long as the unemployment rate remains above 6-1/2 percent inflation between one and two years ahead is projected to be no more than a half percentage point above the Committee 2 percent longer-run goal and longer-term inflation expectations continue to be well anchored.  In determining how long to maintain a highly accommodative stance of monetary policy the Committee will also consider other information including additional measures of labor market conditions indicators of inflation pressures and inflation expectations and readings on financial developments.  When the Committee decides to begin to remove policy accommodation it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. 
    
        Voting against the action was Esther L.  George who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and over time could cause an increase in long-term inflation expectations. 
    "

20/03/2013,"
       Information received since the Federal Open Market Committee met in January suggests a return to moderate economic growth following a pause late last year. Labor market conditions have shown signs of improvement in recent months but the unemployment rate remains elevated. Household spending and business fixed investment advanced and the housing sector has strengthened further but fiscal policy has become somewhat more restrictive. Inflation has been running somewhat below the Committee's longer-run objective apart from temporary variations that largely reflect fluctuations in energy prices. Longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability. The Committee expects that with appropriate policy accommodation economic growth will proceed at a moderate pace and the unemployment rate will gradually decline toward levels the Committee judges consistent with its dual mandate. The Committee continues to see downside risks to the economic outlook. The Committee also anticipates that inflation over the medium term likely will run at or below its 2 percent objective. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee decided to continue purchasing additional agency mortgage-backed securities at a pace of $40 billion per month and longer-term Treasury securities at a pace of $45 billion per month. The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction. Taken together these actions should maintain downward pressure on longer-term interest rates support mortgage markets and help to make broader financial conditions more accommodative. 
    
       The Committee will closely monitor incoming information on economic and financial developments in coming months. The Committee will continue its purchases of Treasury and agency mortgage-backed securities and employ its other policy tools as appropriate until the outlook for the labor market has improved substantially in a context of price stability. In determining the size pace and composition of its asset purchases the Committee will continue to take appropriate account of the likely efficacy and costs of such purchases as well as the extent of progress toward its economic objectives. 
    
       To support continued progress toward maximum employment and price stability the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens. In particular the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that this exceptionally low range for the federal funds rate will be appropriate at least as long as the unemployment rate remains above 6-1/2 percent inflation between one and two years ahead is projected to be no more than a half percentage point above the Committee's 2 percent longer-run goal and longer-term inflation expectations continue to be well anchored. In determining how long to maintain a highly accommodative stance of monetary policy the Committee will also consider other information including additional measures of labor market conditions indicators of inflation pressures and inflation expectations and readings on financial developments. When the Committee decides to begin to remove policy accommodation it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. 
    
       Voting against the action was Esther L.  George who was concerned that the continued high level of monetary accommodation increased the risks of future economic and financial imbalances and over time could cause an increase in long-term inflation expectations. 
    "

01/05/2013,"
       Information received since the Federal Open Market Committee met in March suggests that economic activity has been expanding at a moderate pace.  Labor market conditions have shown some improvement in recent months on balance but the unemployment rate remains elevated.  Household spending and business fixed investment advanced and the housing sector has strengthened further but fiscal policy is restraining economic growth.  Inflation has been running somewhat below the Committee's longer-run objective apart from temporary variations that largely reflect fluctuations in energy prices.  Longer-term inflation expectations have remained stable. 
    
       Consistent with its statutory mandate the Committee seeks to foster maximum employment and price stability.  The Committee expects that with appropriate policy accommodation economic growth will proceed at a moderate pace and the unemployment rate will gradually decline toward levels the Committee judges consistent with its dual mandate.  The Committee continues to see downside risks to the economic outlook.  The Committee also anticipates that inflation over the medium term likely will run at or below its 2 percent objective. 
    
       To support a stronger economic recovery and to help ensure that inflation over time is at the rate most consistent with its dual mandate the Committee decided to continue purchasing additional agency mortgage-backed securities at a pace of $40 billion per month and longer-term Treasury securities at a pace of $45 billion per month.  The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction.  Taken together these actions should maintain downward pressure on longer-term interest rates support mortgage markets and help to make broader financial conditions more accommodative. 
    
       The Committee will closely monitor incoming information on economic and financial developments in coming months.  The Committee will continue its purchases of Treasury and agency mortgage-backed securities and employ its other policy tools as appropriate until the outlook for the labor market has improved substantially in a context of price stability.  The Committee is prepared to increase or reduce the pace of its purchases to maintain appropriate policy accommodation as the outlook for the labor market or inflation changes.  In determining the size pace and composition of its asset purchases the Committee will continue to take appropriate account of the likely efficacy and costs of such purchases as well as the extent of progress toward its economic objectives. 
    
       To support continued progress toward maximum employment and price stability the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.  In particular the Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that this exceptionally low range for the federal funds rate will be appropriate at least as long as the unemployment rate remains above 6-1/2 percent inflation between one and two years ahead is projected to be no more than a half percentage point above the Committee's 2 percent longer-run goal and longer-term inflation expectations continue to be well anchored.  In determining how long to maintain a highly accommodative stance of monetary policy the Committee will also consider other information including additional measures of labor market conditions indicators of inflation pressures and inflation expectations and readings on financial developments.  When the Committee decides to begin to remove policy accommodation it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. 
